ID;Beschreibung;Beginn;Ende;Grundpreis;Mindestaufenthalt;Wochenpreis;Folgenachtpreis
1;Nebensaison;42007;42092;70;2;400;60
1;Zwischensaison;42092;42106;90;2;600;80
1;Nebensaison;42106;42127;70;2;400;60
1;Zwischensaison;42127;42183;90;2;600;80
1;Hauptsaison;42183;42253;130;7;910;130
1;Zwischensaison;42253;42281;90;2;600;80
1;Nebensaison;42281;42364;70;2;400;60
1;Hauptsaison;42364;42376;149;7;1043;149
1;Nebensaison;42376;42434;75;2;500;65
1;Zwischensaison;42434;42450;95;2;645;85
1;Ostern;42450;42463;120;7;840;110
1;Zwischensaison;42463;42470;95;2;645;85
1;Nebensaison;42470;42495;75;2;500;65
1;Zwischensaison;42495;42544;95;2;645;85
1;Mittelsaison;42544;42566;125;7;875;125
1;Hauptsaison;42566;42589;149;7;1043;149
1;Mittelsaison;42589;42617;125;7;875;125
1;Zwischensaison;42617;42673;95;2;645;85
1;Nebensaison;42673;42730;75;2;500;65
1;Hauptsaison;42730;42743;149;7;1043;149
1;Nebensaison;42743;42804;75;2;500;65
1;Zwischensaison;42804;42832;95;2;645;85
1;Ostern;42832;42848;120;7;840;110
1;Nebensaison;42848;42879;75;2;500;65
1;Zwischensaison;42879;42909;95;2;645;85
1;Mittelsaison;42909;42930;130;7;910;130
1;Hauptsaison;42930;42974;155;7;1085;155
1;Mittelsaison;42974;42988;130;7;910;130
1;Zwischensaison;42988;43044;95;2;645;85
1;Nebensaison;43044;43094;75;2;500;65
1;Hauptsaison;43094;43107;155;7;1085;155
